BTC1,BTC2,BTC3,BTC4,BTC5,RTC1,RTC2,RTC3,RTC4,RTC5,WIN
96,63,88,146,57,77,136,79,65,24,0
59,27,141,35,61,10,139,133,99,62,100
86,115,142,139,77,7,21,118,32,85,100
86,115,142,139,77,7,21,118,32,85,100
139,118,25,99,97,61,26,126,77,20,0
99,47,51,32,97,2,126,44,50,58,100
25,12,112,27,65,83,32,118,101,99,100
127,118,38,122,88,42,119,29,24,143,0
87,25,40,65,48,97,119,72,62,118,0
84,40,27,24,113,48,35,68,118,115,0
113,126,129,62,84,65,51,99,69,72,0
2,92,72,139,63,24,93,122,7,14,0
82,81,63,65,25,118,24,84,72,83,100
122,62,27,145,16,99,88,118,24,44,0
79,29,109,97,7,130,46,16,83,12,100
139,35,63,2,48,65,90,29,97,51,0
77,24,80,126,96,48,20,63,35,115,0
27,64,62,90,40,14,88,61,65,84,0
59,35,77,45,99,62,21,72,14,0,100
2,61,72,92,118,79,12,93,65,99,100
2,61,72,92,118,79,12,93,65,99,100
61,126,62,11,65,146,72,87,35,38,100
132,67,99,73,82,87,0,72,17,62,100
17,62,23,77,95,73,15,118,119,79,0
126,92,118,32,112,24,44,111,113,99,100
122,40,92,72,14,90,24,65,16,139,0
122,40,92,72,14,90,24,65,16,139,0
122,40,92,72,14,90,24,65,16,139,0
47,79,96,77,16,81,63,48,33,21,100
99,25,72,85,56,93,61,3,48,82,0
27,82,118,115,18,65,117,97,62,75,0
11,72,85,24,115,136,90,62,29,122,100
7,65,114,79,118,72,82,77,95,96,0
87,112,88,99,93,40,65,25,72,118,100
87,112,88,99,93,40,65,25,72,118,100
63,72,128,79,84,122,85,14,48,138,100
77,72,84,56,62,65,93,112,79,116,100
77,72,84,56,62,65,93,112,79,116,100
16,74,62,72,97,51,14,115,54,99,100
95,17,63,57,74,96,3,72,88,43,0
95,17,63,57,74,96,3,72,88,43,0
44,127,62,64,11,114,85,82,118,99,100
37,132,113,69,99,19,49,62,0,118,0
95,79,80,113,47,102,122,99,58,14,0
132,139,63,61,62,7,64,92,118,84,100
132,139,63,61,62,7,64,92,118,84,100
14,99,116,2,71,72,21,139,84,113,0
7,20,62,97,14,96,131,63,57,127,0
42,2,142,72,20,112,86,11,46,107,100
42,2,142,72,20,112,86,11,46,107,100
62,113,96,65,99,24,63,93,128,72,0
53,72,114,63,93,44,46,80,109,24,0
103,99,72,29,85,25,12,88,48,111,100
130,1,72,146,118,48,88,76,77,115,0
7,84,24,85,118,92,96,77,115,72,0
7,84,24,85,118,92,96,77,115,72,0
7,84,24,85,118,92,96,77,115,72,0
126,77,96,0,43,65,62,113,99,111,0
21,84,72,62,109,17,25,99,75,0,0
20,63,25,97,65,47,101,115,141,59,0
102,99,51,72,112,101,132,12,61,7,0
72,118,2,132,36,88,61,77,65,48,0
114,8,80,104,147,126,56,62,109,115,100
96,62,12,126,88,48,25,0,87,115,100
65,99,1,24,77,97,103,29,7,110,0
111,90,23,93,25,77,10,139,43,7,100
85,88,63,112,128,83,118,82,48,95,100
84,27,50,114,88,73,72,43,111,118,100
14,6,82,72,18,30,113,62,47,0,0
14,6,82,72,18,30,113,62,47,0,0
112,99,109,82,73,21,49,92,84,77,0
109,2,20,35,139,72,87,24,16,146,0
93,27,118,25,69,61,89,114,102,62,0
139,90,72,84,25,14,40,35,0,126,0
24,40,12,72,73,81,136,90,94,88,100
24,40,12,72,73,81,136,90,94,88,100
14,126,92,139,96,42,82,48,2,9,100
99,93,145,35,139,77,88,61,44,106,0
7,83,43,16,113,118,96,92,31,72,100
7,83,43,16,113,118,96,92,31,72,100
7,83,43,16,113,118,96,92,31,72,100
25,20,38,85,67,13,81,139,15,82,0
90,48,132,62,84,99,112,31,43,142,0
90,48,132,62,84,99,112,31,43,142,0
90,48,132,62,84,99,112,31,43,142,0
90,48,132,62,84,99,112,31,43,142,0
121,15,3,24,112,1,77,107,48,0,100
65,139,104,145,35,50,0,72,82,75,100
143,11,62,126,96,64,130,32,118,72,100
0,115,12,24,127,65,96,63,25,136,100
146,72,25,99,29,87,83,92,7,44,0
118,101,146,136,93,48,0,40,99,25,0
40,85,111,24,114,31,9,65,29,62,100
40,85,111,24,114,31,9,65,29,62,100
99,113,142,40,51,2,115,25,15,13,0
7,24,62,0,118,38,88,99,2,103,0
16,70,95,99,4,63,72,25,87,35,0
16,70,95,99,4,63,72,25,87,35,0
48,11,0,65,24,2,114,136,93,63,0
146,77,65,27,62,99,9,63,0,130,100
44,2,13,65,25,121,88,139,3,35,0
111,35,136,134,87,0,61,57,114,118,0
111,35,136,134,87,0,61,57,114,118,0
111,35,136,134,87,0,61,57,114,118,0
112,72,118,29,25,90,16,62,2,46,100
5,29,145,15,79,77,112,85,48,92,0
92,113,2,87,27,20,118,72,94,132,100
92,113,2,87,27,20,118,72,94,132,100
121,45,118,38,111,16,62,95,112,77,100
59,63,79,48,33,92,72,0,113,21,100
21,99,25,145,45,112,12,47,84,55,100
114,74,48,32,18,62,119,50,72,40,100
45,72,24,11,92,142,119,94,90,2,0
146,94,82,14,23,42,72,125,84,79,100
102,82,147,53,15,0,27,55,24,99,0
3,83,95,7,62,21,87,44,94,65,0
84,87,45,106,25,24,118,0,72,29,0
43,40,70,128,59,73,82,118,55,72,100
21,14,44,99,139,146,29,72,12,62,0
96,2,126,65,77,24,99,87,62,29,100
83,113,29,25,99,0,137,72,24,14,0
111,146,77,51,48,99,118,16,88,65,100
111,146,77,51,48,99,118,16,88,65,100
111,146,77,51,48,99,118,16,88,65,100
2,14,15,146,92,32,38,36,63,96,100
25,12,119,127,52,132,65,62,46,109,0
87,25,21,126,102,0,2,63,92,72,100
6,29,48,118,25,88,56,62,63,17,100
84,126,113,58,115,99,25,48,65,143,0
65,84,128,77,88,107,136,127,118,116,0
65,84,128,77,88,107,136,127,118,116,0
145,43,72,65,21,118,101,99,73,115,100
83,7,57,44,75,145,77,126,58,16,100
36,38,61,65,118,63,112,82,49,40,100
139,24,59,12,72,0,57,38,128,68,0
65,82,99,24,27,62,63,48,61,38,0
35,83,16,72,6,7,82,63,18,52,0
17,126,118,36,87,143,72,146,11,82,0
17,126,118,36,87,143,72,146,11,82,0
3,25,97,45,48,23,21,85,92,12,100
34,14,99,88,111,40,62,136,73,28,0
